사업자번호,순번,업체코드정보,구분명,업체별 그룹명,홈페이지 주소,담당부서,활용목적,시스템 구축완료일자,등록일시,안전상비의약품 취급여부,씨피에이아이디(CPA_ID),모니터링 여부,인증시작일,인증만료일,수신검사기관,관리여부,인증여부
603-81-11270,0,CJFRESH,유통업체,식자재,http://www.cjfreshway.com,,위해식품판매차단 시스템 연계,2016-06-29,2016-03-07 13:12,N,GS1-CJFRESH-CPA,Y,2020-06-29,2022-06-28,"ME,KF,KE,MW,MC",Y,Y
220-81-60348,3,HOMEPLUSMALL,유통업체,온라인몰,http://www.homeplus.co.kr,,위해식품판매차단 시스템 연계,2017-05-16,2016-03-23 12:12,N,GS1-HOMEPLUSMALL-CPA,Y,2017-05-16,2019-05-15,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
312-81-15986,0,SH,유통업체,슈퍼마켓,,,위해식품판매차단 시스템 연계,2017-12-19,2016-04-12 10:29,N,GS1-SH-CPA,Y,2017-12-19,2019-12-18,"ME,KF,KA,KE,KM,KB,MW,MK,MC",Y,Y
120-87-55227,0,WEMAKEPRICE,유통업체,온라인몰,,,위해식품판매차단 시스템 연계,2016-07-12,2016-05-23 16:37,N,GS1-WEMAKEPRICE-CPA,Y,2018-07-12,2020-07-11,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
214-86-79828,0,DONGWONFD,유통업체,식자재,www.hwhf.co.kr,,위해식품판매차단 시스템 연계,2017-12-19,2016-05-24 10:42,N,GS1-DONGWONFD-CPA,Y,2017-12-19,2019-12-18,"KF,MW",Y,Y
214-88-08045,0,PRCOMPANY,제조업체,기타소매점,http://www.prcompany.co.kr/,,위해식품판매차단 시스템 연계,,2016-07-19 15:05,N,GS1-PRCOMPANY-CPA,Y,,,"KF,ME,MF,KA,KB,MC,MK,MW",N,N
104-81-26067,0,LTDS,유통업체,백화점,http://www.lotteshopping.com,,위해상품판매차단 시스템 연계,2011-10-10,2016-09-22 12:12,N,GS1-LTDS-CPA,N,,,"KA,KB,KF,ME,MF,MC,MK,MW",N,N
105-87-58545,0,HOMEANDSHOP,유통업체,온라인몰,http://www.hnsmall.com,,위해식품판매차단 시스템 연계,2016-10-14,2016-10-07 15:01,N,GS1-HOMEANDSHOP-CPA,Y,2020-10-14,2022-10-13,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
214-87-98889,0,INTERPARK,유통업체,온라인몰,http://www.interpark.com,,위해식품판매차단 시스템 연계,2018-02-28,2016-12-08 13:15,N,GS1-INTERPARK-CPA,Y,2020-02-28,2022-02-27,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
529-85-00774,0,LOTTECOM,유통업체,온라인몰,www.lotte.com,,,2018-04-16,2017-02-22 13:10,N,GS1-LOTTECOM-CPA,Y,2020-04-16,2022-04-15,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
211-88-41856,0,TMON,유통업체,온라인몰,www.tmon.co.kr,,위해식품판매차단 시스템 연계,2017-03-08,2017-02-24 13:15,N,GS1-TMON-CPA,Y,2019-03-08,2021-03-07,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
107-81-76324,0,OURHOME,유통업체,식자재,http://www.ourhome.co.kr/,,,2017-03-31,2017-03-24 13:15,Y,GS1-OURHOME-CPA,Y,2019-03-31,2021-03-30,"KF,KD,MW",Y,Y
104-81-16860,0,HIMART,유통업체,전문제품점,http://www.e-himart.co.kr,,위해식품판매차단 시스템 연계,2017-09-12,2017-07-18 18:56,N,GS1-HIMART-CPA,Y,2017-09-12,2019-09-11,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
125-81-29907,0,AKDEPT,유통업체,백화점,http://www.akplaza.com,,위해식품판매차단 시스템 연계,2018-03-30,2017-12-14 16:05,N,GS1-AKDEPT-CPA,Y,2018-03-30,2020-03-29,"ME,KF,KE,MW",Y,Y
129-85-42351,1,AKMALL,유통업체,온라인몰,http://www.akmall.com,,위해식품판매차단 시스템 연계,2018-01-31,2017-12-14 16:05,N,GS1-AKMALL-CPA,Y,2018-01-31,2020-01-30,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
219-81-00317,1,HANWHAON,유통업체,온라인몰,www.galleria.co.kr,,,2018-11-23,2018-11-23 10:04,N,GS1-HANWHAON-CPA,Y,2018-11-23,2020-11-22,"ME,KF,MF,KA,KE,KM,KB,MR,MW,MK,MC",Y,Y
314-81-23992,0,KGC,유통업체,온라인몰,http://www.kgc.co.kr,,,2018-12-05,2018-12-05 10:04,N,GS1-KGC-CPA,Y,2018-12-05,2020-12-04,"KF,MF",Y,Y
116-81-18745,2,GSFRESH,유통업체,온라인몰,http://www.gsfresh.com,,,2020-04-29,2020-04-29 14:34,N,GS1-GSFRESH-CPA,Y,2020-09-17,2022-09-17,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",N,Y
213-81-52063,0,DAISO,유통업체,기타소매점,,,위해상품판매차단 시스템 연계,2020-08-20,2020-08-13 13:04,N,GS1-DAISO-CPA,N,,,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",N,N
120-88-00767,0,CUPANG,유통업체,온라인몰,https://www.coupang.com,,,2020-11-03,2020-11-03 13:39,N,GS1-CUPANG-CPA,Y,2020-12-28,2022-12-27,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC,KI,KH",Y,Y
125-85-31546,0,HANMI,유통업체,기타소매점,https://www.hanmihealthcare.co.kr,,위해상품판매차단 시스템 연계,2021-04-23,2021-04-23 10:08,N,GS1-HANMI-CPA,Y,,,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC,KH",Y,N
492-87-00855,0,SKSTOA,유통업체,온라인몰,https://www.skstoa.com,,위해상품판매차단 시스템 연계,2021-05-31,2021-05-18 10:08,N,GS1-SKSTOA-CPA,Y,2021-05-31,2023-05-30,"ME,KF,MF,KA,KE,KM,KB,KI,KH,MW,MK,MC",Y,Y
220-81-62517,0,NAVER,유통업체,온라인몰,https://www.naver.com,,위해상품판매차단 시스템 연계,2021-06-11,2021-06-14 10:08,N,GS1-NAVER-CPA,Y,2021-08-02,2023-08-01,"ME,KF,MF,KA,KE,KM,KB,KI,KH,MW,MK,MC",Y,Y
502-86-28395,0,SSGTV,유통업체,온라인몰,http://tv.ssg.com,,위해상품판매차단 시스템 연계,2022-01-25,2022-01-25 11:09,N,GS1-SSGTV-CPA,Y,,,"ME,KF,MF,KA,KD,KE,KM,KB,KI,KH,MW,MK,MC",Y,N
891-88-00985,1,KAKAO,유통업체,온라인몰,http://kakaocommerce.com,,위해상품판매차단 시스템 연계,2022-04-07,2022-04-07 11:09,N,GS1-KAKAO-CPA,Y,,,"ME,KF,MF,KA,KD,KE,KM,KB,KI,KH,MW,MK,MC",Y,N
